

*******************************************************************************
Ephemeris / WWW_USER Sun Jan 11 21:45:37 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: OCO-2 (spacecraft) (-140059)    {source: OCO-2}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Feb-02 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Feb-09 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260109.p260407
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JAN-09. PREDICTS-> 2026-APR-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460342.500000000, A.D. 2024-Feb-02 00:00:00.0000, -4.780109011685645E+03,  8.969137996856716E+02, -5.155196991541974E+03,  4.593113675072229E+00, -3.393334496183503E+00, -4.854752357302409E+00,
2460342.500694444, A.D. 2024-Feb-02 00:01:00.0000, -4.495089317616264E+03,  6.916550231375959E+02, -5.435893262345520E+03,  4.904323748188317E+00, -3.446314433994493E+00, -4.498652121283822E+00,
2460342.501388889, A.D. 2024-Feb-02 00:02:00.0000, -4.191987363311019E+03,  4.836338436938534E+02, -5.694677071633036E+03,  5.195655525888594E+00, -3.485384882019690E+00, -4.124583574435572E+00,
2460342.502083333, A.D. 2024-Feb-02 00:03:00.0000, -3.872030730961038E+03,  2.736893587242839E+02, -5.930515633984151E+03,  5.465959891493751E+00, -3.510404205631882E+00, -3.734068266383478E+00,
2460342.502777778, A.D. 2024-Feb-02 00:04:00.0000, -3.536513355646103E+03,  6.266747090576473E+01, -6.142469324269972E+03,  5.714174866662392E+00, -3.521287251174006E+00, -3.328689005571262E+00,
2460342.503472222, A.D. 2024-Feb-02 00:05:00.0000, -3.186790191416253E+03, -1.485824981051828E+02, -6.329695153452912E+03,  5.939329089574858E+00, -3.518005233416794E+00, -2.910083171680546E+00,
2460342.504166667, A.D. 2024-Feb-02 00:06:00.0000, -2.824271681348222E+03, -3.592111808981017E+02, -6.491449841442060E+03,  6.140544869537218E+00, -3.500585410601448E+00, -2.479935970894664E+00,
2460342.504861111, A.D. 2024-Feb-02 00:07:00.0000, -2.450418056508858E+03, -5.683725121690247E+02, -6.627092484564493E+03,  6.317040833025471E+00, -3.469110562712896E+00, -2.039973667343285E+00,
2460342.505555556, A.D. 2024-Feb-02 00:08:00.0000, -2.066733487775736E+03, -7.752270398836793E+02, -6.736086817038489E+03,  6.468134179025095E+00, -3.423718288534834E+00, -1.591956818590046E+00,
